Signal,3035 - 75th St W 29th Ave W,Unnamed: 2,Unnamed: 3
05/17/21 09:25:05.500,9,Phase End Yellow Clearance,2
05/17/21 09:25:05.500,10,Phase Begin Red Clearance,2
05/17/21 09:25:07.500,11,Phase End Red Clearance,2
05/17/21 09:25:23.600,1,Phase Begin Green,2
05/17/21 09:26:42.000,7,Phase Green Termination,2
05/17/21 09:26:42.000,8,Phase Begin Yellow Clearance,2
05/17/21 09:26:47.300,9,Phase End Yellow Clearance,2
05/17/21 09:26:47.300,10,Phase Begin Red Clearance,2
05/17/21 09:26:49.300,11,Phase End Red Clearance,2
05/17/21 09:27:04.600,1,Phase Begin Green,2
05/17/21 09:31:40.100,7,Phase Green Termination,2
